1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: CB0000005ED2C921
Is Mission Active?  false
Mission Start:  Sun Jul 10 09:41:00 PDT 2022
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2113
Total Samples:  2113
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/4/22, 8:56:00 AM,C,12
8/4/22, 1:11:00 PM,C,14.5
8/4/22, 5:26:00 PM,C,14.5
8/4/22, 9:41:00 PM,C,12
8/5/22, 1:56:00 AM,C,9
8/5/22, 6:11:00 AM,C,7
8/5/22, 10:26:00 AM,C,17.5
8/5/22, 2:41:00 PM,C,23.5
8/5/22, 6:56:00 PM,C,17
8/5/22, 11:11:00 PM,C,12.5
8/6/22, 3:26:00 AM,C,10.5
8/6/22, 7:41:00 AM,C,10.5
8/6/22, 11:56:00 AM,C,23
8/6/22, 4:11:00 PM,C,26
8/6/22, 8:26:00 PM,C,17
8/7/22, 12:41:00 AM,C,13.5
8/7/22, 4:56:00 AM,C,12
8/7/22, 9:11:00 AM,C,16
8/7/22, 1:26:00 PM,C,27
8/7/22, 5:41:00 PM,C,22
8/7/22, 9:56:00 PM,C,17
8/8/22, 2:11:00 AM,C,14.5
8/8/22, 6:26:00 AM,C,12.5
8/8/22, 10:41:00 AM,C,22
8/8/22, 2:56:00 PM,C,30
8/8/22, 7:11:00 PM,C,21
8/8/22, 11:26:00 PM,C,17
8/9/22, 3:41:00 AM,C,15
8/9/22, 7:56:00 AM,C,15
8/9/22, 12:11:00 PM,C,19
8/9/22, 4:26:00 PM,C,20
8/9/22, 8:41:00 PM,C,18
8/10/22, 12:56:00 AM,C,16
8/10/22, 5:11:00 AM,C,15
8/10/22, 9:26:00 AM,C,17
8/10/22, 1:41:00 PM,C,27.5
8/10/22, 5:56:00 PM,C,23
8/10/22, 10:11:00 PM,C,18
8/11/22, 2:26:00 AM,C,14.5
8/11/22, 6:41:00 AM,C,13
8/11/22, 10:56:00 AM,C,20.5
8/11/22, 3:11:00 PM,C,31
8/11/22, 7:26:00 PM,C,20.5
8/11/22, 11:41:00 PM,C,16
8/12/22, 3:56:00 AM,C,15
8/12/22, 8:11:00 AM,C,15
8/12/22, 12:26:00 PM,C,26
8/12/22, 4:41:00 PM,C,27
8/12/22, 8:56:00 PM,C,18.5
8/13/22, 1:11:00 AM,C,16
8/13/22, 5:26:00 AM,C,14.5
8/13/22, 9:41:00 AM,C,14
8/13/22, 1:56:00 PM,C,18.5
8/13/22, 6:11:00 PM,C,18.5
8/13/22, 10:26:00 PM,C,13.5
8/14/22, 2:41:00 AM,C,11
8/14/22, 6:56:00 AM,C,9.5
8/14/22, 11:11:00 AM,C,22
8/14/22, 3:26:00 PM,C,30
