1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: CB0000005699CE21
Is Mission Active?  false
Mission Start:  Sun Jul 18 17:47:00 CEST 2021
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2074
Total Samples:  2074
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/12/21, 5:02:00 PM,C,32.5
8/12/21, 9:17:00 PM,C,17
8/13/21, 1:32:00 AM,C,13.5
8/13/21, 5:47:00 AM,C,13
8/13/21, 10:02:00 AM,C,27
8/13/21, 2:17:00 PM,C,33.5
8/13/21, 6:32:00 PM,C,24
8/13/21, 10:47:00 PM,C,15.5
8/14/21, 3:02:00 AM,C,13
8/14/21, 7:17:00 AM,C,13.5
8/14/21, 11:32:00 AM,C,31
8/14/21, 3:47:00 PM,C,30
8/14/21, 8:02:00 PM,C,18
8/15/21, 12:17:00 AM,C,13.5
8/15/21, 4:32:00 AM,C,11.5
8/15/21, 8:47:00 AM,C,19
8/15/21, 1:02:00 PM,C,27.5
8/15/21, 5:17:00 PM,C,25.5
8/15/21, 9:32:00 PM,C,15.5
8/16/21, 1:47:00 AM,C,14
8/16/21, 6:02:00 AM,C,13
8/16/21, 10:17:00 AM,C,16.5
8/16/21, 2:32:00 PM,C,17
8/16/21, 6:47:00 PM,C,14
8/16/21, 11:02:00 PM,C,11.5
8/17/21, 3:17:00 AM,C,9
8/17/21, 7:32:00 AM,C,8.5
8/17/21, 11:47:00 AM,C,14.5
8/17/21, 4:02:00 PM,C,14
8/17/21, 8:17:00 PM,C,8.5
8/18/21, 12:32:00 AM,C,6.5
8/18/21, 4:47:00 AM,C,7.5
8/18/21, 9:02:00 AM,C,11.5
8/18/21, 1:17:00 PM,C,21
8/18/21, 5:32:00 PM,C,18.5
8/18/21, 9:47:00 PM,C,11
8/19/21, 2:02:00 AM,C,9.5
8/19/21, 6:17:00 AM,C,8
8/19/21, 10:32:00 AM,C,19
8/19/21, 2:47:00 PM,C,18.5
8/19/21, 7:02:00 PM,C,13.5
8/19/21, 11:17:00 PM,C,11.5
8/20/21, 3:32:00 AM,C,9
8/20/21, 7:47:00 AM,C,12
8/20/21, 12:02:00 PM,C,14.5
8/20/21, 4:17:00 PM,C,15
8/20/21, 8:32:00 PM,C,10.5
8/21/21, 12:47:00 AM,C,10
8/21/21, 5:02:00 AM,C,9.5
8/21/21, 9:17:00 AM,C,11
8/21/21, 1:32:00 PM,C,14
8/21/21, 5:47:00 PM,C,12.5
8/21/21, 10:02:00 PM,C,10.5
8/22/21, 2:17:00 AM,C,10
8/22/21, 6:32:00 AM,C,9
8/22/21, 10:47:00 AM,C,10.5
8/22/21, 3:02:00 PM,C,10
8/22/21, 7:17:00 PM,C,7.5
8/22/21, 11:32:00 PM,C,3.5
8/23/21, 3:47:00 AM,C,5.5
8/23/21, 8:02:00 AM,C,7
8/23/21, 12:17:00 PM,C,10.5
8/23/21, 4:32:00 PM,C,12.5
8/23/21, 8:47:00 PM,C,5.5
8/24/21, 1:02:00 AM,C,3.5
8/24/21, 5:17:00 AM,C,3
8/24/21, 9:32:00 AM,C,10.5
8/24/21, 1:47:00 PM,C,21
8/24/21, 6:02:00 PM,C,12
8/24/21, 10:17:00 PM,C,7
8/25/21, 2:32:00 AM,C,6
8/25/21, 6:47:00 AM,C,6
8/25/21, 11:02:00 AM,C,25.5
8/25/21, 3:17:00 PM,C,21.5
8/25/21, 7:32:00 PM,C,12.5
8/25/21, 11:47:00 PM,C,8.5
8/26/21, 4:02:00 AM,C,8.5
8/26/21, 8:17:00 AM,C,12
8/26/21, 12:32:00 PM,C,14.5
8/26/21, 4:47:00 PM,C,11
8/26/21, 9:02:00 PM,C,10
8/27/21, 1:17:00 AM,C,8.5
8/27/21, 5:32:00 AM,C,8
8/27/21, 9:47:00 AM,C,9
8/27/21, 2:02:00 PM,C,14.5
8/27/21, 6:17:00 PM,C,12
8/27/21, 10:32:00 PM,C,6
8/28/21, 2:47:00 AM,C,4
8/28/21, 7:02:00 AM,C,4
8/28/21, 11:17:00 AM,C,24.5
8/28/21, 3:32:00 PM,C,21.5
8/28/21, 7:47:00 PM,C,12
8/29/21, 12:02:00 AM,C,6.5
8/29/21, 4:17:00 AM,C,6
8/29/21, 8:32:00 AM,C,11
8/29/21, 12:47:00 PM,C,24
8/29/21, 5:02:00 PM,C,20
8/29/21, 9:17:00 PM,C,9.5
8/30/21, 1:32:00 AM,C,7.5
8/30/21, 5:47:00 AM,C,9
8/30/21, 10:02:00 AM,C,11.5
8/30/21, 2:17:00 PM,C,16.5
8/30/21, 6:32:00 PM,C,7
8/30/21, 10:47:00 PM,C,5.5
8/31/21, 3:02:00 AM,C,4.5
8/31/21, 7:17:00 AM,C,4.5
8/31/21, 11:32:00 AM,C,6.5
8/31/21, 3:47:00 PM,C,8.5
8/31/21, 8:02:00 PM,C,5.5
9/1/21, 12:17:00 AM,C,1.5
9/1/21, 4:32:00 AM,C,0.5
9/1/21, 8:47:00 AM,C,5.5
9/1/21, 1:02:00 PM,C,16.5
