iButton #,Site #,Lat,Long,Details,Collection Notes,Altitude (meters)
1,1,48 42 21 N,121 49 28 W,Tree (shaded),,1066
2,1,48 42 21 N,121 49 29 W,Tree (exposed),,1067
3,1,48 42 21 N,121 49 29 W,Buried,,1067
4,2,48 42 51 N,121 49 52 W,Tree (shaded),,1182
5,2,48 42 51 N,121 49 52 W,Buried,,1182
6,3,48 43 2 N,121 50 3 W,Tree (shaded),,1341
7,3,48 43 2 N,121 50 3 W,Buried,,1341
8,4,48 43 18 N,121 50 22 W,Buried,,1472
9,5,48 44 1 N,121 50 29 W,Buried,,1683
10,5,48 44 1 N,121 50 29 W,Buried,,1683
11,5,48 44 1 N,121 50 29 W,Buried,,1683
12,6,48 44 20 N,121 50 30 W,Buried,,1792
13,,,,,,
14,7,48 44 59 N,121 50 24 W,Buried,,2058
15,8,48 46 10 N,121 49 12 W,Buried,,2962
16,9,48 46 36 N,121 48 52 W,Buried,,3203
